PID,Name,Title,Journal,Volume,Issue,StartPage,EndPage,Year,DOI,NumberOfAuthors
1652760,"Raivio, Magdalena, 0000-0002-9916-6179, (Karlstad University, Sweden);Skaremyr, Ellinor, 0000-0002-9836-1909, (Högskolan i Borås, Sweden);Kuusisto, Arniika, 0000-0002-6085-576X, (Stockholm University, Sweden)(University of Helsinki, Finland)",Caring for Worldviews in Early Childhood Education : Theoretical and Analytical Tool for Socially Sustainable Communities of Care,Sustainability,14,7,,,2022,10.3390/su14073815,3
1660892,"Andersson, Ulf, 0000-0002-1789-8158, (Högskolan i Borås, Sweden);Andersson Hagiwara, Magnus, 0000-0002-6888-9323, (Högskolan i Borås, Sweden);Wireklint Sundström, Birgitta, 0000-0001-8536-1910, (Högskolan i Borås, Sweden);Andersson, Henrik, 0000-0002-3308-7304, (Högskolan i Borås, Sweden);Maurin Söderholm, Hanna, 0000-0003-0279-8987, (Högskolan i Borås, Sweden)",Clinical Reasoning among Registered Nurses in Emergency Medical Services: A Case Study,Journal of Cognitive Engineering and Decision Making,,,,,2022,10.1177/15553434221097788,5
1744970,"Francke, Helena, 0000-0001-5572-8566, (Högskolan i Borås, Sweden)(Lund University, Sweden);Hammarfelt, Björn, 0000-0002-1504-8395, (Högskolan i Borås, Sweden)",Competitive exposure and existential recognition: Visibility and legitimacy on academic social networking sites,Research Evaluation,31,4,429,437,2022,10.1093/reseval/rvab043,2
1659200,"Klaar, Susanne, 0000-0003-3606-9379, (Högskolan i Borås, Sweden);Wank, Ann-Charlott, 0000-0001-8095-1532, (Högskolan i Borås, Sweden)",ECE as an educative and multifaceted practice for growth: : to assess and evaluate teaching and learning by documenting children's actions and re-actions,European Early Childhood Education Research Journal,30,4,557,571,2022,10.1080/1350293X.2022.2070649,2
1726744,"Hedegaard, Joel, 0000-0002-2045-7716, (Jönköping University, Sweden);Hugo, Martin, 0000-0002-6448-4636, (Högskolan i Borås, Sweden)(Jönköping University, Sweden)",Education as change : Liberation from mental illness and self-stigma in favour of empowerment,Australian Journal of Adult Learning,62,1,97,123,2022,,2
1669920,"Uddling, Jenny, 0000-0003-4503-9606, Högskolan i Borås, Sweden);Danielsson, Kristina, 0000-0002-4842-7869, (Linnaeus University, Sweden)",Elever i ett språkligt heterogent klassrum rör sig mot naturvetenskapliga beskrivningar av ljud,HumaNetten,,48,113,137,2022,10.15626/hn.20224806,2
1704201,"Levinsson, Magnus, 0000-0001-6202-4348, (Högskolan i Borås, Sweden);Norlund, Anita, 0000-0003-1681-5418, (Högskolan i Borås, Sweden);Johansson, Jonas, , (Högskolan i Borås, Sweden)",En samtida diskurs om betydelsen av fysisk aktivitet för undervisning och lärande : Kritisk analys av artiklar i lärarfackliga tidskrifter.,Nordic Studies in Education,42,3,249,271,2022,10.23865/nse.v42.3535,3
1716797,"Cronqvist, Marita, 0000-0002-6639-8803, (Högskolan i Borås, Sweden);Skaremyr, Ellinor, 0000-0002-9836-1909, (Högskolan i Borås, Sweden)",Etiskt ledarskap i övergången mellan förskola och skola- förskoleklassen som inkluderande gränsöverskridare,Paideia,24,,,,2022,,2
1718054,"Damber, Ulla, 0000-0002-9015-311X, (Mid Sweden University, Sweden);Hermansson, Carina, 0000-0002-7357-0122, (Högskolan i Borås, Sweden)(Umeå University, Sweden);Andersson, Birgit, 0000-0001-7279-2877, (Umeå University, Sweden);Jendis, Mareike, , (Umeå University, Sweden)",Factors facilitating and obstructing a school development project,Education Inquiry,13,4,428,446,2022,10.1080/20004508.2021.1929751,4
1716742,"Kepalienė, Fausta, 0000-0002-5791-4036, (Vilnius University, Lithuania);Maceviciute, Elena, 0000-0003-3412-2420, (Högskolan i Borås, Sweden)",Factors influencing Lithuanian researchers’ use of open access repositories as a publishing channel,Information research,27,SI,,,2022,10.47989/irisic2210,2
