PID,Name,Title,Journal,Volume,Issue,StartPage,EndPage,Year,DOI,NumberOfAuthors
1646028,"Ekström, Björn, 0000-0003-4187-7004, (Högskolan i Borås, Sweden)","Thousands of examining eyes : credibility, authority and validity in biodiversity citizen science data production",Aslib Journal of Information Management,75,1,149,170,2023,10.1108/AJIM-10-2021-0292,1
1801058,"Ekström, Björn, 0000-0003-4187-7004, (Högskolan i Borås, Sweden);Tattersall Wallin, Elisa, 0000-0002-1813-8046, (Högskolan i Borås, Sweden)",Simple questions for complex matters? : An enquiry into Swedish Google search queries on wind power,Nordic Journal of Library and Information Studies,4,1,34,50,2023,10.7146/njlis.v4i1.136246,2
1820395,"Eliaso Magnusson, Josefina, 0000-0001-7240-0976, (Högskolan i Borås, Sweden);Uddling, Jenny, 0000-0003-4503-9606, (Högskolan i Borås, Sweden)",Studiehandledares möjligheter till agency i samverkan med lärare,Nordand: nordisk tidsskrift for andrespråksforskning,18,3,157,172,2023,10.18261/nordand.18.3.1,2
1725281,"Eliaso Magnusson, Josefina, 0000-0001-7240-0976, (Högskolan i Borås, Sweden);Bergnehr, Disa, 0000-0002-6357-6491, (Linnaeus University, Sweden)","Att höra till eller inte? Föränderliga kapital, positioneringar och tillhörigheter från grundskola till högskola",Pedagogisk forskning i Sverige,,,,,2023,10.15626/pfs28.03.05,2
1826448,"Eliaso Magnusson, Josefina, 0000-0001-7240-0976, (Högskolan i Borås, Sweden);Nordén, Per, 0009-0009-3198-4771, (Högskolan i Borås, Sweden)",Uppdrag forskningscirkel: Ett ULF-projekt på landsbygden,Utbildning & Lärande,17,3,,,2023,10.58714/ul.v17i3.13021,2
1633175,"Foderaro, Antonella, 0000-0003-4828-9934, (Högskolan i Borås, Sweden);Gunnarsson Lorentzen, David, 0000-0003-0659-4754, (Högskolan i Borås, Sweden)",Argumentative practices and patterns in debating climate change on Twitter,Aslib Journal of Information Management,75,1,131,148,2023,10.1108/AJIM-06-2021-0164,1
1712894,"Frostlund, Jörgen, , (Högskolan i Borås, Sweden);Nordgren, Pia M., , (Högskolan i Borås, Sweden)",Evidence-based teaching in Swedish compulsory schools for pupils with intellectual disabilities,Journal of Interactional Research in Communication Disorders,14,1,154,188,2023,10.1558/jircd.23205,2
1686931,"Green, Leon, 0000-0002-3328-3655, (University of Gothenburg, Sweden)(University of Gothenburg, Sweden);Faust, Ellika, 0000-0001-9823-9703, (University of Gothenburg, Sweden);Hinchcliffe, James, 0000-0003-0165-0462, (University of Gothenburg, Sweden);Brijs, Jeroen, 0000-0002-3671-5038, (University of Gothenburg, Sweden)(University of Hawai'i, United States);Holmes, Andrew, , (University of Gothenburg, Sweden);Englund Örn, Felix, , (University of Gothenburg, Sweden);Svensson, Ola, 0000-0003-3752-3131, (Högskolan i Borås, Sweden);Roques, Jonathan A. C., 0000-0002-9971-5975, (University of Gothenburg, Sweden);Leder, Erica H., 0000-0002-7160-2290, (University of Gothenburg, Sweden)(Natural History Museum University of Oslo, Norway);Sandblom, Erik, 0000-0002-2228-242X, (University of Gothenburg, Sweden);Kvarnemo, Charlotta, 0000-0001-8983-2900, (University of Gothenburg, Sweden)",Invader at the edge — Genomic origins and physiological differences of round gobies across a steep urban salinity gradient,Evolutionary Applications,16,2,321,337,2023,10.1111/eva.13437,11
1702623,"Gustafsson, Tanja, 000-0002-8379-7910, (Högskolan i Borås, Sweden);Johansson Sundler, Annelie, 0000-0002-9194-3244, (Högskolan i Borås, Sweden);Hedén, Lena, 0000-0001-7067-2687, (Högskolan i Borås, Sweden);Lindberg, Elisabeth, 0000-0001-7488-4038, (Högskolan i Borås, Sweden);Maurin Söderholm, Hanna, 0000-0003-0279-8987, (Högskolan i Borås, Sweden)",Communication in home care—A feasibility study of an educational intervention in self‐efficacy and job satisfaction,Nursing Open,10,3,1375,1382,2023,10.1002/nop2.1387,5
1738950,"Haider, Jutta, 0000-0002-8293-8208, (Högskolan i Borås, Sweden);Rödl, Malte, 0000-0003-4777-3134, (Swedish University of Agricultural Sciences, Sweden)",Google Search and the creation of ignorance: The case of the climate crisis,Big Data and Society,10,1,,,2023,10.1177/20539517231158997,2
1744956,"Hammarfelt, Björn, 0000-0002-1504-8395, (Högskolan i Borås, Sweden);Hallonsten, Olof, 0000-0003-4546-3562, (Lund University, Sweden)",Are evaluative bibliometrics neoliberal? A historical and theoretical problematization,Social Science Information,,,,,2023,10.1177/05390184231158195,2
1823922,"Hammarfelt, Björn, 0000-0002-1504-8395, (Högskolan i Borås);Karlsson, Martin, 0000-0001-9354-096X, (University of Duisburg-Essen, Germany)",Nordic Academic Publishing in Health Economics,Nordic Journal of Health Economics,6,1,59,78,2023,10.5617/njhe.10189,2
1810189,"Huvila, Isto, 0000-0001-9196-2106, (Uppsala University, Sweden);Andersson, Lisa, , (Uppsala University, Sweden);Fulton, Crystal, 0000-0003-3645-0313, (University College Dublin, Ireland);Haider, Jutta, 0000-0002-8293-8208, (Högskolan i Borås, Sweden);Harviainen, J. Tuomas, 0000-0002-6085-5663, (Tampere University, Finland)",Managing Information Gaps and Non‐Information,Proceedings of the Association for Information Science and Technology,60,1,793,798,2023,10.1002/pra2.863,5
1787840,"Höglander, Jessica, 0000-0002-5685-8669, (Mälardalen University, Sweden);Holmström, Inger K., 0000-0002-4302-5529, (Mälardalen University, Sweden)(Uppsala University, Sweden);Gustafsson, Tanja, 000-0002-8379-7910, (Högskolan i Borås, Sweden);Lindberg, Elisabeth, 0000-0001-7488-4038, (Högskolan i Borås, Sweden);Maurin Söderholm, Hanna, 0000-0003-0279-8987, (Högskolan i Borås, Sweden);Hedén, Lena, 0000-0001-7067-2687, (Högskolan i Borås, Sweden);von Heideken Wågert, Petra, 0000-0001-6292-7010, (Mälardalen University, Sweden);Johansson Sundler, Annelie, 0000-0002-9194-3244, (Högskolan i Borås, Sweden)",Implementing A person-centred CommunicaTION (ACTION) educational intervention for in-home nursing assistants – a study protocol,BMC Geriatrics,23,1,,,2023,10.1186/s12877-023-03831-3,8
1757895,"Johansson, Veronica, 0000-0001-5523-0282, (Högskolan i Borås, Sweden);Lindh, Maria, 0009-0009-0404-2586, (Högskolan i Borås, Sweden)",Limited knowledge and informal lobbying: internet regulation through content filters in Swedish public libraries,"Journal of Information, Communication and Ethics in Society",21,3,243,258,2023,10.1108/jices-12-2022-0105,2
1825703,"Klaar, Susanne, 0000-0003-3606-9379, (Högskolan i Borås, Sweden)",Personformerande undervisning i förskolan : att skapa en identitet och att bli ett subjekt,Paideia,25,,37,48,2023,,1
1686935,"Kvarnemo, Charlotta, 0000-0001-8983-2900, (University of Gothenburg, Sweden);Green, Leon, 0000-0002-3328-3655, (University of Gothenburg, Sweden);Svensson, Ola, 0000-0003-3752-3131, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden);Lindström, Kai, 0000-0002-8356-5538, (Åbo Akademi University, Finland);Schöld, Sofie, 0000-0001-5108-0926, (University of Gothenburg, Sweden)(Swedish Meteorological and Hydrological Institute, Sweden);Griful‐Dones, Martina, 0000-0001-9464-9764, (University of Gothenburg, Sweden)(University of Barcelona, Spain);Havenhand, Jonathan N, 0000-0001-6721-7763, (University of Gothenburg, Sweden);Leder, Erica H, 0000-0002-7160-2290, (University of Gothenburg, Sweden)(University of Turku, Finland)(Natural History Museum University of Oslo, Norway)","Molecular, behavioural and morphological comparisons of sperm adaptations in a fish with alternative reproductive tactics",Evolutionary Applications,16,2,338,353,2023,10.1111/eva.13438,8
1745246,"Lindsköld, Linnéa, 0000-0002-6482-731X, (Högskolan i Borås, Sweden);Hedemark, Åse,0000-0001-5290-3808, (Uppsala University, Sweden)","Changes in the governance of the reading subject : Swedish reading policy, <em>c</em>.1949–1984",The International Journal of Cultural Policy,,,1,15,2023,10.1080/10286632.2023.2187052,2
1825743,"Lindström Sol, Sofia, 0000-0003-4331-4950, (Högskolan i Borås, Sweden)","“Participation is important, but—” : Professional rationalities of balancing acts in publicly funded cultural institutions",Nordisk kulturpolitisk tidskrift,26,1,42,56,2023,10.18261/nkt.26.1.4,1
1787663,"Löfström, Helena, 0000-0001-9633-0423, (Högskolan i Borås, Sweden)(Jönköping University, Sweden);Löfström, Tuwe, 0000-0003-0274-9026, (Jönköping University, Sweden);Johansson, Ulf, , (Jönköping University, Sweden);Sönströd, Cecilia, 0009-0009-0404-2586, (Jönköping University, Sweden)",Investigating the impact of calibration on the quality of explanations,Annals of Mathematics and Artificial Intelligence,,,,,2023,10.1007/s10472-023-09837-2,4
1826724,"Mahon, Kathleen, 0000-0002-8945-2235, (Högskolan i Borås, Sweden)(University of Queensland, Australia)",Doctoral supervision as and for praxis,Journal of Praxis in Higher Education,5,2,118,139,2023,10.47989/kpdc318,1
1818092,"Marčetić, Hana, 0000-0002-3841-0377, (Högskolan i Borås, Sweden);Nolin, Jan, 0000-0001-9228-9179, (Högskolan i Borås, Sweden)",Utopian and Dystopian Sociotechnical Imaginaries of Big Data,Journal of Digital Social Research (JDSR),5,4,93,125,2023,10.33621/jdsr.v5i4.180,2
1635081,"Nonthacumjane, Pussadee, 0000-0002-4910-0526, (Högskolan i Borås, Sweden);Nolin, Jan, 0000-0001-9228-9179, (Högskolan i Borås, Sweden)",Four typologies for understanding local information,"Global Knowledge, Memory and Communication",72,05-apr.,376,390,2023,10.1108/GKMC-05-2021-0083,2
1724699,"Nonthacumjane, Pussadee, 0000-0002-4910-0526, (Högskolan i Borås, Sweden);Johansson, Veronica, 0000-0001-5523-0282, (Högskolan i Borås, Sweden)",Shaping local information in Thailand : Hidden contradictions in the digitisation activities of the Provincial University Library Network (PULINET),Journal of Librarianship and Information Science,55,1,246,258,2023,10.1177/09610006221143101,2
1795278,"Norlund, Anita, 0000-0003-1681-5418, (Högskolan i Borås, Sweden);Levinsson, Magnus, 0000-0001-6202-4348, (Högskolan i Borås, Sweden)","Ett neuropedagogiskt ideal på lärares kompetensutvecklingsmarknad. : Kännetecken, konsekvenser och kritik.",Nordisk Tidskrift för Allmän Didaktik,9,1,1,18,2023,10.57126/noad.2023.19543,2
1808402,"Otterborn, Anna, 0000-0002-6446-7676, (Örebro University, Sweden);Sundberg, Bodil, 0000-0002-7747-0647, (Högskolan i Borås, Sweden)(Örebro University, Sweden);Schönborn, Konrad, 0000-0001-8888-6843, (Linköping University, Sweden)",The Impact of Digital and Analog Approaches on a Multidimensional Preschool Science Education,Research in science education,,,,,2023,10.1007/s11165-023-10133-6,3
1824752,"Pennlert, Julia, 0000-0003-3110-1376, (Högskolan i Borås, Sweden)",Meningen med metoden : Litteratursociologiska metoddiskussioner då och nu,Passage - Tidsskrift for litteratur og kritik,38,89,,,2023,,1
1822041,"Peterson, Carina, , (Högskolan i Borås, Sweden)",Förskollärares balansgång mellan att undervisa ett kunskapsinnehåll och att tillvarata barns intresse,Paideia,25,,48,57,2023,,1
1806163,"Raivio, Magdalena, 0000-0002-9916-6179, (Karlstad University, Sweden);Skaremyr, Ellinor, 0000-0002-9836-1909, (Högskolan i Borås, Sweden);Kuusisto, Arniika, 0000-0002-6085-576X, (University of Helsinki, Finland)",Discursive Norms and Incentives for Equipping Students with Religion and Worldview Literacy in Swedish Preschool Teacher Education Policy,Religions,14,9,1,15,2023,10.3390/rel14091194,3
